card_id,card_name,card_type,count,ev_score
318,Ho-Oh,Pokemon,1,0.2857
6,Basic {F} Energy,Energy,8,0.0
304,Hop’s Snorlax,Pokemon,1,0.4
193,Alolan Exeggutor ex,Pokemon,1,0.4286
1040,Mega Clefable ex,Pokemon,1,0.3429
62,Koraidon,Pokemon,1,0.3714
226,Koraidon,Pokemon,1,0.3143
1033,Aurorus,Pokemon,1,0.4286
320,Ceruledge ex,Pokemon,2,0.8
191,Gholdengo,Pokemon,1,0.2857
336,Zacian ex,Pokemon,1,0.6
345,Crustle,Pokemon,1,0.3429
244,Jolteon ex,Pokemon,1,0.8
340,Yanmega ex,Pokemon,1,0.6
3,Basic {W} Energy,Energy,1,0.0
872,Tapu Koko,Pokemon,1,0.3714
1031,Mega Starmie ex,Pokemon,1,0.6
419,Abomasnow,Pokemon,1,0.3429
894,Galarian Obstagoon,Pokemon,1,0.4571
949,Raichu,Pokemon,2,0.4286
623,Klinklang,Pokemon,1,0.3429
806,Rotom ex,Pokemon,1,0.3714
513,Eelektross,Pokemon,1,0.2857
25,Pinsir,Pokemon,1,0.2857
460,Team Rocket's Muk,Pokemon,1,0.2857
330,Sylveon,Pokemon,1,0.2857
121,Dragapult ex,Pokemon,1,0.5714
932,Mega Emboar ex,Pokemon,1,0.9143
5,Basic {P} Energy,Energy,1,0.0
386,Cornerstone Mask Ogerpon,Pokemon,1,0.2857
854,Dustox,Pokemon,1,0.2857
326,Blaziken ex,Pokemon,1,0.5714
756,Mega Kangaskhan ex,Pokemon,1,0.5714
16,Prism Energy,Energy,1,0.2857
407,Team Rocket's Moltres ex,Pokemon,1,0.3143
992,Duraludon,Pokemon,1,0.3714
133,Dusknoir,Pokemon,1,0.4286
868,Mega Eelektross ex,Pokemon,1,0.5429
723,Mega Abomasnow ex,Pokemon,1,0.5714
832,Krookodile,Pokemon,1,0.4571
332,Dhelmise,Pokemon,1,0.3714
328,Pikachu ex,Pokemon,1,0.6286
1016,Serperior,Pokemon,1,0.2857
975,Stunfisk ex,Pokemon,1,0.2857
302,Salamence ex,Pokemon,1,0.8571
82,Excadrill,Pokemon,2,0.5143
452,Team Rocket's Nidoqueen,Pokemon,1,0.3714
1062,Yveltal ex,Pokemon,1,0.6
991,Melmetal,Pokemon,1,0.3429
44,Bloodmoon Ursaluna ex,Pokemon,1,0.6857
